Elgeseter PM10µg/m³,Elgeseter PM2.5µg/m³,Elgeseter NO2µg/m³,Hour,Trafikkmengde,Year,Month,Day
53.9,18.3,32.4,22,554,2023,3,28
7.9,4.0,38.2,14,1921,2023,2,28
9.66,4.4,5.6,14,1810,2023,7,5
2.3,5.4,24.0,19,915,2023,2,17
17.9,3.5,26.76,8,1737,2023,9,28
13.5,4.8,14.2,6,837,2022,12,6
3.8,6.6,11.8,10,680,2023,4,16
8.8,5.9,7.0,1,83,2022,11,14
10.260000000000002,4.45,7.5,16,1033,2023,7,2
9.71,3.72,5.4,23,717,2023,8,4
18.56,6.43,16.9,19,877,2023,7,26
3.2,2.7,9.2,4,85,2022,11,10
9.39,6.33,27.0,16,1559,2023,8,25
18.47,6.65,17.5,10,1477,2023,7,4
5.62,4.97,8.8,12,1595,2023,8,2
0.5,1.3,9.7,13,712,2023,4,7
12.59,3.640000000000001,18.1,22,607,2023,7,26
38.5,31.0,50.9,22,617,2023,1,21
1.6,0.8,5.23,1,543,2022,10,2
22.6,3.6,28.5,22,547,2023,9,25
2.0900000000000003,2.63,3.7,2,510,2023,8,6
3.54,3.3200000000000003,2.5,1,169,2023,5,10
9.37,4.68,11.8,23,583,2023,4,28
6.5,4.7,15.25,13,980,2022,10,9
54.0,42.5,64.4,17,1136,2023,1,22
0.0,1.8,18.1,19,1022,2023,3,22
1.8,3.6,26.8,8,1811,2023,3,23
3.1,2.5,19.2,10,1366,2023,1,4
9.86,3.51,4.1,23,459,2023,5,28
0.0,0.0,7.5,6,850,2022,10,19
20.96,6.49,14.1,13,1756,2023,8,4
1.9,0.0,1.8,7,424,2022,11,26
3.2,2.5,16.8,1,75,2022,12,1
0.0,0.0,6.1,3,55,2023,1,25
10.889999999999995,4.75,9.7,1,282,2023,5,20
0.2,0.2,15.1,11,1511,2023,1,30
3.7,4.2,2.3,1,96,2023,3,15
19.6,9.0,23.79,16,1774,2022,10,12
5.4,4.5,9.4,11,719,2023,2,19
21.3,4.2,20.35,6,767,2023,9,29
10.93,3.3,6.7,3,187,2023,5,6
14.679999999999998,3.72,7.4,22,675,2023,6,22
7.130000000000001,2.94,5.7,15,1219,2023,5,28
13.5,10.5,15.5,3,62,2023,1,23
10.04,5.220000000000001,19.2,7,1758,2023,8,28
7.500000000000002,2.88,7.9,11,1519,2023,8,2
1.4,1.1,12.1,1,329,2023,2,25
0.4,2.2,3.8,12,1106,2023,2,12
1.35,1.49,1.4,6,150,2023,8,20
6.6,3.4,6.480000000000001,20,840,2022,10,1
1.9,0.2,16.0,14,1881,2023,2,16
26.0,7.2,30.9,20,941,2023,6,11
3.76,3.0,5.8,10,1522,2023,8,10
14.2,13.1,21.4,0,186,2022,12,2
26.6,25.6,21.7,11,344,2022,12,25
4.69,3.2700000000000005,3.4,23,676,2023,8,19
2.4,3.1,4.2,11,735,2023,1,15
2.8,2.4,12.0,6,160,2022,12,26
40.1,4.3,17.45,13,1882,2022,10,5
33.4,32.9,28.1,22,523,2022,12,11
51.0,7.9,33.8,13,1618,2022,10,22
2.31,2.44,1.5,3,67,2023,5,15
2.31,2.44,1.5,3,41,2023,9,5
62.2,3.9,66.0,6,843,2023,3,31
16.3,5.5,18.82,9,391,2022,10,16
20.18,4.92,20.9,8,1372,2023,8,10
5.6,6.2,9.0,16,1171,2023,1,8
2.6,1.5,6.68,1,46,2022,10,5
18.1,3.4,19.86,17,1348,2022,10,10
6.44,3.08,11.1,2,98,2023,4,5
1.1,0.9,10.4,5,97,2023,3,11
4.3,4.4,16.1,23,577,2023,1,7
13.06,5.6,17.7,19,881,2023,8,27
13.1,6.2,12.4,21,608,2022,12,27
4.6,4.3,4.4,18,677,2023,4,5
16.3,5.4,15.5,13,1088,2022,11,20
0.0,1.7,14.9,4,72,2023,2,7
11.86,5.0,7.8,5,160,2023,6,27
4.4,1.3,5.4,9,645,2023,3,25
4.88,3.54,1.7,0,160,2023,8,28
8.830000000000002,4.85,16.8,13,1847,2023,8,15
18.3,18.1,58.6,15,2035,2023,1,2
5.840000000000001,3.5700000000000003,6.1,4,80,2023,7,5
28.44,7.85,17.1,18,935,2023,8,7
0.0,0.0,4.8,1,107,2023,4,13
17.5,7.6,32.8,20,628,2023,4,1
4.1,3.2,40.3,8,1841,2023,1,24
2.25,1.39,3.0,21,957,2023,5,24
0.0,1.3,3.4,3,66,2023,1,11
22.92,9.04,25.6,8,1894,2023,5,31
14.7,6.4,6.1,1,624,2023,3,26
17.8,9.0,13.4,12,1473,2023,4,15
2.4,3.0,12.26,19,953,2023,2,23
7.18,2.99,3.9,22,618,2023,6,26
5.9,2.8,15.22,15,1477,2022,10,1
36.6,6.8,27.7,18,1257,2023,9,26
23.5,14.1,40.9,14,1927,2022,11,30
8.5,8.8,1.7,3,52,2023,4,12
1.1,2.3,9.5,6,214,2023,2,11
1.2,1.9,3.3,5,87,2023,2,5
9.35,5.949999999999999,14.8,10,1535,2023,8,16
8.2,4.9,21.3,16,1718,2023,2,21
1.35,1.49,1.4,2,115,2023,8,4
7.0,3.5,8.4,4,109,2022,10,22
19.55,6.380000000000001,22.0,16,1838,2023,5,2
35.0,5.6,11.6,15,1370,2023,3,25
3.5,3.4,13.1,7,420,2022,12,10
13.12,5.369999999999999,10.3,2,469,2023,8,27
2.7,1.7,4.3,3,177,2023,3,4
16.4,3.1,14.049999999999995,7,1813,2022,10,10
24.0,9.6,15.5,18,1151,2022,11,12
12.59,3.640000000000001,18.1,8,238,2023,5,21
4.5,3.2,3.4,0,180,2023,6,6
17.6,14.0,53.8,12,1314,2022,12,28
0.0,0.0,13.7,4,75,2022,11,4
8.6,2.6,5.3,2,561,2022,10,30
10.52,6.01,9.5,13,1778,2023,4,25
7.5,3.8,27.7,11,1555,2023,3,21
15.6,6.9,24.8,7,1761,2023,9,26
4.7,7.4,15.6,1,416,2023,2,4
28.4,2.9,6.9,13,1064,2023,3,26
29.5,16.6,69.4,16,1789,2023,1,10
2.5,3.9,31.8,6,912,2023,1,9
13.06,5.6,17.7,12,1705,2023,5,2
15.0,9.3,8.6,17,1195,2023,6,17
14.589999999999998,5.61,9.3,21,805,2023,8,16
10.65,3.69,11.3,3,64,2023,5,9
4.3,4.3,22.7,9,1494,2023,6,29
6.8,5.0,26.3,14,1881,2023,3,1
10.13,4.23,5.1,23,281,2023,5,29
13.726756302521007,6.1375126050420175,16.583335387649452,9,1388,2022,10,13
27.31,7.210000000000001,20.2,12,1677,2023,5,8
7.8,4.9,57.2,7,1691,2023,1,10
6.5,3.8,3.0,19,876,2023,1,6
10.510000000000002,7.58,20.0,8,1686,2023,5,15
12.6,4.6,24.7,12,1743,2023,1,20
3.0,3.3,5.0,18,858,2022,12,31
6.5,5.1,10.6,10,1492,2023,3,27
19.8,3.3,14.920000000000002,15,2293,2022,9,30
5.0,4.5,9.7,18,1132,2022,12,7
10.38,4.029999999999999,6.6,20,818,2023,5,27
9.4,3.76,12.7,19,857,2023,8,7
8.5,1.9,4.7,5,139,2023,4,3
2.0900000000000003,2.63,3.7,23,397,2023,8,16
10.9,8.4,41.2,11,1712,2022,12,22
20.3,17.0,60.0,13,1256,2022,12,28
7.479999999999999,3.37,4.0,3,241,2023,5,21
7.0,4.9,38.6,8,1849,2023,1,26
